name,description,ingredients,category,protein,carbs,fat,fiber,vitamins,calories,cooking_time,spicy_level,instructions,is_vegetarian
Gobi Paratha,"A stuffed Indian flatbread with spiced cauliflower filling, a popular meal in North India.","wheat flour, grated cauliflower, green chilies, cumin seeds",main,6,34,6,3,{'vitamin C': 8},240,20,2,"1. Prepare dough with wheat flour. 2. Stuff with spiced cauliflower filling, roll into parathas. 3. Cook on a griddle until golden. 4. Serve with yogurt.",TRUE
Poha,"A light and healthy flattened rice dish with spices, vegetables, and peanuts, popular in Indian breakfasts.","poha (flattened rice), onions, green chilies, peanuts, curry leaves",breakfast,4,30,6,2,{'vitamin B1': 3},180,10,1,"1. Rinse poha and drain. 2. Sauté onions, green chilies, peanuts, and curry leaves. 3. Add poha, mix well, and serve hot.",TRUE
Bread Upma (Bread Poha),"A quick and tasty dish made with bread and spices, similar to traditional upma, making it perfect for breakfast.","bread, onions, green chilies, mustard seeds, curry leaves, peas",breakfast,6,30,5,4,"{'vitamin C': 10, 'vitamin B6': 5}",220,15,2,"1. Cut the bread into small pieces. 2. Heat oil in a pan, add mustard seeds and curry leaves. 3. Sauté onions and green chilies until soft. 4. Add peas and cook for 2-3 minutes. 5. Mix in the bread pieces, toss well, and cook for another 5 minutes. 6. Serve hot.",TRUE
Rava Idli,"Soft and fluffy steamed cakes made from semolina, ideal for breakfast or as a snack, often served with sambar and chutney.","semolina, yogurt, mustard seeds, curry leaves, green chilies, ginger",breakfast,7,30,5,2,{'vitamin B1': 3},180,30,1,"1. In a bowl, mix semolina, yogurt, and water to form a thick batter. 2. Let it rest for 30 minutes. 3. Add mustard seeds, curry leaves, chopped green chilies, and ginger to the batter. 4. Grease the idli molds and pour the batter into them. 5. Steam for 15-20 minutes until a toothpick comes out clean. 6. Serve with sambar and coconut chutney.",TRUE
Aloo Paratha,"A delicious stuffed flatbread made with spiced potato filling, commonly served with yogurt or pickle.","whole wheat flour, potatoes, green chilies, cumin seeds, coriander leaves",breakfast,8,45,10,5,{'vitamin C': 5},320,30,2,"1. Boil and mash the potatoes. 2. Mix with chopped green chilies, cumin seeds, and coriander leaves. 3. Prepare dough from whole wheat flour. 4. Divide the dough and filling into equal portions. 5. Roll out the dough, place the filling in the center, and fold the dough over it. 6. Roll again into a flat shape and cook on a hot griddle until golden brown on both sides. 7. Serve with yogurt or pickle.",TRUE
Poori,"Fluffy, deep-fried bread made from whole wheat flour, perfect as a side dish or for breakfast with curries or subzis.","whole wheat flour, water, salt, oil for frying",breakfast,4,30,6,2,{'vitamin B1': 2},300,20,1,"1. In a bowl, mix whole wheat flour and salt, then add water to form a smooth dough. 2. Cover and let it rest for 15-20 minutes. 3. Heat oil in a deep frying pan. 4. Divide the dough into small balls and roll them into thin circles. 5. Carefully slide them into hot oil and fry until puffed and golden. 6. Drain on paper towels and serve hot with curry or subzi.",TRUE
Strawberry Milkshake,"A refreshing and creamy milkshake made with fresh strawberries, milk, and ice cream, perfect for a sweet treat.","fresh strawberries, milk, ice cream, sugar",beverage,5,35,12,1,"{'vitamin C': 15, 'calcium': 20}",250,10,1,"1. Wash and hull the strawberries. 2. In a blender, combine strawberries, milk, sugar, and ice cream. 3. Blend until smooth and creamy. 4. Pour into glasses and serve immediately, garnished with whole strawberries.",TRUE
Millet Dosa,"A nutritious and crispy dosa made from millet flour, a healthy alternative to traditional rice dosas, perfect for breakfast.","millet flour, rice flour, urad dal, fenugreek seeds, water",breakfast,6,30,4,5,{'vitamin B1': 3},220,20,2,"1. Soak urad dal and fenugreek seeds in water for 4-5 hours. 2. Grind with millet flour and rice flour to form a smooth batter. 3. Let the batter ferment overnight. 4. Heat a non-stick skillet, pour a ladle of batter, and spread into a circle. 5. Cook until golden brown on both sides. 6. Serve with chutney or sambar.",TRUE
Ragi Dosa,"A healthy and gluten-free dosa made from ragi flour, packed with nutrients and perfect for breakfast or a snack.","ragi flour, rice flour, urad dal, water",breakfast,5,28,4,6,{'vitamin B1': 2},200,20,2,"1. Soak urad dal in water for 4-5 hours. 2. Grind the dal with ragi flour and rice flour to make a smooth batter. 3. Add water to achieve the desired consistency. 4. Heat a pan, pour batter to form a circle, and cook until crisp. 5. Serve with coconut chutney or sambar.",TRUE
Uttapam,"A thick, pancake-like dosa topped with vegetables, a filling and nutritious breakfast option.","rice flour, urad dal, onions, tomatoes, green chilies, bell peppers",breakfast,7,35,5,3,{'vitamin C': 8},250,20,2,"1. Soak rice and urad dal for 4-5 hours and grind to a smooth batter. 2. Let the batter ferment overnight. 3. Heat a pan and pour a ladle of batter to form a thick pancake. 4. Top with chopped onions, tomatoes, green chilies, and bell peppers. 5. Cook until the bottom is golden and flip to cook the other side. 6. Serve hot with chutney.",TRUE
Overnight Oats with Chia Seeds,"A nutritious and easy-to-make breakfast that you prepare the night before, packed with fiber and omega-3 fatty acids.","rolled oats, chia seeds, almond milk, honey, fresh fruits",breakfast,10,40,5,8,"{'vitamin C': 5, 'vitamin B6': 3}",350,5,1,"1. In a mason jar, combine rolled oats, chia seeds, and almond milk. 2. Add honey and mix well. 3. Top with fresh fruits like berries or sliced banana. 4. Cover and refrigerate overnight. 5. In the morning, stir well and enjoy cold or warmed up.",TRUE
Greek Yogurt Parfait with Berries,"A delicious and healthy layered dessert or breakfast made with Greek yogurt, fresh berries, and granola.","Greek yogurt, mixed berries, granola, honey",breakfast,15,30,7,5,"{'vitamin C': 10, 'calcium': 20}",250,10,1,"1. In a glass, layer Greek yogurt, a handful of mixed berries, and a sprinkle of granola. 2. Repeat the layers until the glass is full. 3. Drizzle honey on top. 4. Serve immediately for a refreshing breakfast.",TRUE
Avocado Toast with Poached Eggs,A creamy and satisfying breakfast featuring ripe avocado on toasted bread topped with perfectly poached eggs.,"whole grain bread, ripe avocado, eggs, salt, pepper, lemon juice",breakfast,12,30,14,8,"{'vitamin E': 4, 'vitamin K': 3}",400,15,2,"1. Toast the whole grain bread until golden brown. 2. While toasting, poach the eggs in simmering water for about 3-4 minutes. 3. In a bowl, mash the ripe avocado and mix in salt, pepper, and lemon juice. 4. Spread the avocado mixture on the toasted bread. 5. Top with poached eggs and season with extra salt and pepper. 6. Serve immediately.",FALSE
Smoothie Bowl with Spinach and Banana,"A vibrant and nutritious smoothie bowl made with spinach, banana, and topped with your favorite fruits and seeds.","spinach, banana, almond milk, chia seeds, fresh fruits, granola",breakfast,8,35,5,6,"{'vitamin A': 15, 'vitamin C': 10}",300,10,1,"1. In a blender, combine spinach, banana, and almond milk. 2. Blend until smooth and creamy. 3. Pour the smoothie into a bowl. 4. Top with fresh fruits, chia seeds, and granola. 5. Enjoy with a spoon for a nutritious breakfast.",TRUE
Quinoa Breakfast Bowl with Almonds and Honey,"A hearty and filling breakfast bowl made with cooked quinoa, almonds, and drizzled with honey for sweetness.","quinoa, almond milk, almonds, honey, fresh fruits",breakfast,12,45,7,6,"{'vitamin E': 5, 'vitamin B1': 3}",400,15,1,"1. Cook quinoa according to package instructions. 2. In a bowl, combine cooked quinoa and almond milk. 3. Drizzle with honey and top with chopped almonds and fresh fruits. 4. Mix well and enjoy warm or cold.",TRUE
Veggie Omelette with Spinach and Bell Peppers,"A fluffy and healthy omelette loaded with fresh vegetables, perfect for a protein-packed breakfast.","eggs, spinach, bell peppers, onions, salt, pepper",breakfast,10,5,8,1,"{'vitamin A': 10, 'vitamin B12': 5}",220,15,2,"1. Whisk the eggs in a bowl with salt and pepper. 2. Heat oil in a skillet, add chopped onions, and bell peppers, and sauté until soft. 3. Add spinach and cook until wilted. 4. Pour the eggs over the veggies and cook until set. 5. Fold the omelette in half and serve hot.",FALSE
Banana Pancakes with Oats,"Fluffy and wholesome pancakes made with oats and bananas, perfect for a delightful breakfast treat.","oats, ripe bananas, eggs, milk, baking powder, cinnamon",breakfast,8,40,7,4,"{'vitamin C': 10, 'potassium': 20}",300,20,1,"1. In a bowl, mash the ripe bananas. 2. Add eggs, milk, oats, baking powder, and cinnamon. 3. Mix until combined. 4. Heat a skillet and pour batter to form pancakes. 5. Cook until bubbles form, then flip and cook until golden brown. 6. Serve with syrup or fresh fruit.",TRUE
Whole Grain Toast with Nut Butter and Banana,A simple yet satisfying breakfast with nut butter spread on whole grain toast topped with banana slices.,"whole grain bread, almond butter, banana, honey",breakfast,10,30,9,4,"{'vitamin B6': 5, 'potassium': 10}",300,10,1,1. Toast the whole grain bread until golden. 2. Spread almond butter generously over the toast. 3. Slice bananas and arrange them on top of the nut butter. 4. Drizzle with honey if desired. 5. Serve immediately.,TRUE
Cottage Cheese with Pineapple and Walnuts,A refreshing and protein-packed breakfast made with cottage cheese topped with sweet pineapple and crunchy walnuts.,"cottage cheese, pineapple chunks, walnuts, honey",breakfast,15,25,10,2,"{'vitamin C': 15, 'calcium': 20}",350,10,1,"1. In a bowl, add cottage cheese. 2. Top with pineapple chunks and chopped walnuts. 3. Drizzle with honey for added sweetness. 4. Mix lightly and enjoy this protein-rich breakfast.",FALSE
Chia Seed Pudding with Coconut Milk,"A creamy and satisfying pudding made with chia seeds and coconut milk, perfect for breakfast or a healthy snack.","chia seeds, coconut milk, honey, vanilla extract, fresh fruits",breakfast,6,20,15,10,"{'vitamin C': 5, 'calcium': 10}",300,10,1,"1. In a bowl, mix chia seeds, coconut milk, honey, and vanilla extract. 2. Stir well and let sit for 10 minutes. 3. Stir again to prevent clumping and refrigerate for at least 2 hours or overnight. 4. Serve chilled, topped with fresh fruits.",TRUE
Rawa Pongal (Savory Rice and Lentil Dish),"A comforting and delicious dish made with semolina and lentils, spiced with black pepper and ginger, typically served with coconut chutney.","semolina, yellow moong dal, ginger, black pepper, curry leaves, ghee, salt, water",breakfast,9,35,15,5,"{'vitamin B1': 5, 'iron': 2}",320,25,2,"1. Dry roast semolina until lightly golden and set aside. 2. In a pot, boil water and add yellow moong dal. 3. Cook until soft, then add roasted semolina, ginger, black pepper, and salt. 4. Stir well and cook until the mixture thickens. 5. Heat ghee in a separate pan, add curry leaves, and pour over the Pongal. 6. Serve hot with coconut chutney.",TRUE
Vegetable Uttapam (Thick Pancake with Vegetables),"A thick and hearty pancake topped with assorted vegetables, perfect for a wholesome breakfast.","rice flour, urad dal, onions, tomatoes, bell peppers, green chilies, coriander leaves, salt, oil",breakfast,10,40,5,8,"{'vitamin C': 10, 'vitamin A': 5}",350,30,2,"1. Soak rice and urad dal for 6-8 hours, then grind to a smooth batter. 2. Add salt and let it ferment overnight. 3. Heat a skillet, pour batter to form a thick pancake, and top with chopped vegetables. 4. Cook until the bottom is golden, then flip and cook the other side. 5. Serve hot with sambar and chutney.",TRUE
Moong Dal Chilla (Lentil Pancakes),"Healthy and protein-rich pancakes made from ground moong dal, perfect for breakfast or snacks.","moong dal, green chilies, ginger, onions, coriander leaves, salt, oil",breakfast,14,30,5,8,"{'vitamin B9': 3, 'iron': 2}",250,20,1,"1. Soak moong dal for 4-5 hours, then grind to a smooth batter with green chilies and ginger. 2. Mix in chopped onions, coriander leaves, and salt. 3. Heat oil in a skillet, pour a ladle of batter to form pancakes. 4. Cook until both sides are golden brown. 5. Serve hot with green chutney.",TRUE
Besan Cheela (Gram Flour Pancakes),"Savory pancakes made with gram flour and spices, a nutritious breakfast option rich in protein.","besan (gram flour), onions, tomatoes, green chilies, spices, coriander leaves, water, salt, oil",breakfast,8,35,10,6,"{'vitamin B1': 5, 'vitamin B2': 5}",300,20,1,"1. In a bowl, mix besan, chopped onions, tomatoes, green chilies, coriander leaves, spices, and salt. 2. Add water to form a smooth batter. 3. Heat oil in a skillet, pour batter to make pancakes. 4. Cook until both sides are golden brown. 5. Serve with yogurt or chutney.",TRUE
Oats Porridge with Fruits,"A nutritious and filling porridge made with oats and topped with a variety of fresh fruits, perfect for a healthy breakfast.","rolled oats, milk or water, honey, mixed fruits, nuts, chia seeds",breakfast,10,50,5,7,"{'vitamin C': 5, 'fiber': 15}",350,10,1,"1. In a pot, combine rolled oats and milk (or water) and bring to a boil. 2. Reduce heat and simmer until oats are cooked. 3. Sweeten with honey and stir in chia seeds. 4. Top with mixed fruits and nuts. 5. Serve warm.",TRUE
Vegetable Khichdi (Rice and Lentil Mix with Vegetables),"A comforting one-pot dish made with rice, lentils, and assorted vegetables, spiced mildly for a healthy meal.","rice, yellow moong dal, mixed vegetables (carrots, peas, beans), ginger, cumin seeds, turmeric, salt, ghee",breakfast,10,45,7,8,"{'vitamin A': 10, 'vitamin C': 5}",350,30,2,"1. Rinse rice and dal thoroughly. 2. In a pot, heat ghee and add cumin seeds and ginger. 3. Add mixed vegetables, turmeric, and salt, and sauté. 4. Add rice and dal, followed by water, and bring to a boil. 5. Cook until the rice and dal are soft. 6. Serve hot with pickle or yogurt.",TRUE
Sabudana Khichdi (Tapioca Pearl Dish),"A popular fasting dish made with tapioca pearls, potatoes, and peanuts, lightly spiced for flavor.","sabudana (tapioca pearls), potatoes, peanuts, green chilies, cumin seeds, salt, ghee",breakfast,8,40,15,2,"{'vitamin B6': 4, 'magnesium': 5}",350,20,2,"1. Soak sabudana in water for 2-3 hours, drain excess water. 2. Boil and mash potatoes. 3. In a pan, heat ghee and add cumin seeds and chopped green chilies. 4. Add sabudana, potatoes, and roasted peanuts, and mix well. 5. Cook for a few minutes until sabudana becomes translucent. 6. Serve hot with yogurt.",TRUE
Dhokla (Steamed Chickpea Flour Snack),"A fluffy and savory steamed cake made from chickpea flour, perfect for breakfast or snacks.","besan (chickpea flour), yogurt, ginger paste, green chilies, turmeric, mustard seeds, curry leaves, salt",breakfast,10,35,6,5,"{'vitamin B1': 5, 'calcium': 15}",220,30,1,"1. In a bowl, mix besan, yogurt, ginger paste, green chilies, turmeric, and salt to form a batter. 2. Add water to achieve pouring consistency. 3. Pour the batter into a greased steaming dish and steam for 15-20 minutes. 4. In a pan, heat oil and add mustard seeds and curry leaves for tempering. 5. Pour the tempering over the steamed dhokla. 6. Cut into squares and serve with green chutney.",TRUE
Sprouted Moong Salad,"A refreshing salad made with sprouted green moong, veggies, and a tangy dressing, packed with nutrients.","sprouted moong, cucumber, tomatoes, onions, lemon juice, salt, chaat masala",breakfast,12,20,1,7,"{'vitamin C': 15, 'fiber': 5}",150,15,1,"1. In a bowl, combine sprouted moong, chopped cucumber, tomatoes, and onions. 2. Drizzle with lemon juice, and sprinkle salt and chaat masala. 3. Toss well to mix. 4. Serve fresh for a healthy snack or breakfast.",TRUE
Ragi Mudde (Finger Millet Balls),"A traditional South Indian dish made from finger millet flour, typically served with sambar or curry.","ragi flour, water, salt",breakfast,8,40,2,5,"{'calcium': 10, 'iron': 5}",250,25,1,"1. In a pot, boil water with a pinch of salt. 2. Gradually add ragi flour, stirring continuously to avoid lumps. 3. Cook on low heat until the mixture thickens and starts to pull away from the sides. 4. Once cooked, shape the mixture into balls using wet hands. 5. Serve with sambar or any curry of your choice.",TRUE
Quinoa Salad with Chickpeas and Vegetables,"A refreshing and nutritious salad made with quinoa, chickpeas, and a variety of colorful vegetables, drizzled with a lemon vinaigrette.","quinoa, chickpeas, cucumber, bell peppers, cherry tomatoes, parsley, olive oil, lemon juice, salt, pepper",lunch,15,45,10,12,"{'vitamin C': 15, 'iron': 5}",350,20,1,"1. Rinse quinoa under cold water and cook according to package instructions. 2. In a large bowl, combine cooked quinoa, chickpeas, diced cucumber, bell peppers, cherry tomatoes, and chopped parsley. 3. In a small bowl, whisk together olive oil, lemon juice, salt, and pepper. 4. Pour the dressing over the salad and toss well to combine. 5. Serve chilled or at room temperature.",TRUE
Grilled Chicken Salad with Avocado,"A hearty salad featuring grilled chicken breast, fresh greens, and creamy avocado, topped with a tangy dressing.","grilled chicken breast, mixed greens, avocado, cherry tomatoes, cucumber, olive oil, balsamic vinegar, salt, pepper",lunch,30,10,15,7,"{'vitamin E': 5, 'potassium': 10}",400,25,1,"1. Season chicken breast with salt and pepper, and grill until cooked through. 2. In a large bowl, combine mixed greens, sliced avocado, halved cherry tomatoes, and sliced cucumber. 3. Slice the grilled chicken and add it to the salad. 4. In a small bowl, whisk together olive oil, balsamic vinegar, salt, and pepper. 5. Drizzle the dressing over the salad and toss gently. 6. Serve immediately.",FALSE
Lentil Soup with Spinach and Carrots,"A hearty and nutritious soup made with lentils, fresh spinach, and carrots, flavored with herbs and spices.","green lentils, spinach, carrots, onions, garlic, vegetable broth, cumin, salt, pepper, olive oil",lunch,18,35,7,10,"{'vitamin A': 10, 'fiber': 12}",300,40,2,"1. In a large pot, heat olive oil over medium heat and sauté chopped onions and garlic until translucent. 2. Add diced carrots and cook for a few minutes. 3. Add lentils, vegetable broth, cumin, salt, and pepper, and bring to a boil. 4. Reduce heat and simmer until lentils are tender. 5. Stir in fresh spinach and cook until wilted. 6. Serve hot with crusty bread.",TRUE
Brown Rice Bowl with Steamed Broccoli and Tofu,"A wholesome bowl of brown rice topped with steamed broccoli and marinated tofu, drizzled with a sesame dressing.","brown rice, tofu, broccoli, soy sauce, sesame oil, garlic, ginger, sesame seeds",lunch,20,60,15,8,"{'vitamin C': 15, 'calcium': 5}",450,30,2,"1. Cook brown rice according to package instructions. 2. Press and cube tofu, then marinate in soy sauce, sesame oil, minced garlic, and ginger for 15 minutes. 3. Steam broccoli until tender. 4. In a skillet, cook marinated tofu until golden. 5. In a bowl, layer brown rice, steamed broccoli, and tofu. 6. Sprinkle with sesame seeds and serve.",TRUE
Chickpea and Spinach Curry,"A flavorful curry made with chickpeas and spinach, simmered in spices and coconut milk, served with rice or bread.","chickpeas, spinach, coconut milk, onion, garlic, ginger, curry powder, cumin, salt, olive oil",lunch,15,40,10,8,"{'vitamin A': 20, 'iron': 6}",380,35,2,"1. In a pot, heat olive oil and sauté chopped onion, garlic, and ginger until golden. 2. Add curry powder and cumin, and cook for another minute. 3. Stir in chickpeas and coconut milk, and bring to a simmer. 4. Add spinach and cook until wilted. 5. Season with salt and serve with rice or bread.",TRUE
Vegetable Stir-Fry with Brown Rice,"A quick and colorful stir-fry of assorted vegetables served over brown rice, perfect for a healthy meal.","mixed vegetables (bell peppers, broccoli, carrots), brown rice, soy sauce, garlic, ginger, sesame oil",lunch,12,55,10,8,"{'vitamin C': 20, 'fiber': 6}",400,25,2,"1. Cook brown rice according to package instructions. 2. In a wok, heat sesame oil and sauté minced garlic and ginger. 3. Add mixed vegetables and stir-fry until tender-crisp. 4. Add cooked brown rice and soy sauce, and stir until combined. 5. Serve hot, garnished with sesame seeds.",TRUE
Zucchini Noodles with Pesto and Cherry Tomatoes,A light and healthy dish featuring spiralized zucchini tossed in pesto and topped with fresh cherry tomatoes.,"zucchini, cherry tomatoes, pesto, olive oil, salt, pepper",lunch,5,15,8,3,"{'vitamin C': 10, 'fiber': 2}",250,15,1,"1. Spiralize zucchini into noodles. 2. In a skillet, heat olive oil and add zucchini noodles, sautéing for 2-3 minutes until slightly tender. 3. Stir in pesto and halved cherry tomatoes. 4. Cook for another minute until heated through. 5. Season with salt and pepper, and serve immediately.",TRUE
Whole Wheat Wrap with Hummus and Veggies,"A healthy and satisfying wrap filled with hummus, fresh veggies, and herbs, great for lunch on-the-go.","whole wheat wrap, hummus, lettuce, cucumber, bell peppers, carrots, parsley, lemon juice, salt",lunch,10,30,5,7,"{'vitamin A': 15, 'fiber': 8}",350,15,1,"1. Spread a generous layer of hummus over the whole wheat wrap. 2. Layer with lettuce, sliced cucumber, bell peppers, grated carrots, and chopped parsley. 3. Drizzle with lemon juice and sprinkle with salt. 4. Roll the wrap tightly and cut in half. 5. Serve as a quick and healthy lunch.",TRUE
Baked Salmon with Asparagus,"A simple yet elegant dish featuring baked salmon and tender asparagus, seasoned with herbs and lemon.","salmon fillet, asparagus, olive oil, lemon, garlic, salt, pepper",lunch,25,0,15,0,"{'vitamin D': 10, 'omega-3': 15}",450,25,1,"1. Preheat the oven to 400°F (200°C). 2. Place salmon fillet and asparagus on a baking sheet. 3. Drizzle with olive oil, lemon juice, minced garlic, salt, and pepper. 4. Bake for 15-20 minutes until salmon is cooked through. 5. Serve hot with a wedge of lemon.",FALSE
Greek Quinoa Bowl with Feta and Olives,"A vibrant and protein-packed bowl with quinoa, feta cheese, olives, and fresh vegetables, drizzled with olive oil.","quinoa, feta cheese, olives, cucumber, tomatoes, red onion, olive oil, lemon juice, salt, pepper",lunch,12,40,12,6,"{'vitamin C': 15, 'calcium': 10}",400,20,1,"1. Cook quinoa according to package instructions and let cool. 2. In a large bowl, combine cooked quinoa, diced cucumber, tomatoes, red onion, crumbled feta, and olives. 3. Drizzle with olive oil and lemon juice, and season with salt and pepper. 4. Toss well and serve chilled or at room temperature.",TRUE
Cauliflower Rice Stir-Fry,"A low-carb alternative to fried rice made with cauliflower rice, mixed vegetables, and soy sauce, quick and easy to prepare.","cauliflower, mixed vegetables (peas, carrots, bell peppers), soy sauce, garlic, ginger, sesame oil, green onions",lunch,8,20,5,4,"{'vitamin C': 15, 'fiber': 4}",200,20,2,"1. Grate cauliflower to make cauliflower rice. 2. In a skillet, heat sesame oil and sauté minced garlic and ginger. 3. Add mixed vegetables and stir-fry for a few minutes. 4. Add cauliflower rice and soy sauce, cooking until heated through. 5. Garnish with chopped green onions and serve.",TRUE
Black Bean and Corn Salad,"A hearty salad made with black beans, corn, and fresh veggies, dressed with lime and cilantro for flavor.","black beans, corn, bell peppers, red onion, cilantro, lime juice, olive oil, salt",lunch,15,45,5,8,"{'vitamin C': 10, 'fiber': 10}",350,15,1,"1. In a bowl, combine black beans, corn, diced bell peppers, and chopped red onion. 2. In a separate bowl, whisk together lime juice, olive oil, and salt. 3. Pour the dressing over the salad and mix well. 4. Garnish with chopped cilantro and serve chilled.",TRUE
Stuffed Bell Peppers with Quinoa and Veggies,"Colorful bell peppers filled with a delicious mixture of quinoa, vegetables, and spices, baked until tender.","bell peppers, quinoa, black beans, corn, onion, garlic, cumin, salt, pepper, cheese",lunch,18,50,10,8,"{'vitamin C': 25, 'fiber': 8}",400,30,2,"1. Preheat the oven to 375°F (190°C). 2. Cook quinoa according to package instructions. 3. In a skillet, sauté chopped onion and garlic, then add black beans, corn, and cooked quinoa. 4. Season with cumin, salt, and pepper. 5. Cut the tops off bell peppers and remove seeds. 6. Fill peppers with quinoa mixture and place in a baking dish. 7. Cover with foil and bake for 30 minutes. 8. Serve warm.",TRUE
Roasted Sweet Potato and Black Bean Tacos,"A delicious taco filling made with roasted sweet potatoes and black beans, topped with avocado and salsa.","sweet potatoes, black beans, corn tortillas, avocado, salsa, lime juice, cumin, salt",lunch,12,60,5,10,"{'vitamin A': 30, 'fiber': 12}",450,35,2,"1. Preheat the oven to 400°F (200°C). 2. Peel and cube sweet potatoes, toss with olive oil, cumin, and salt, and roast until tender (about 25 minutes). 3. Warm corn tortillas in a skillet. 4. Fill tortillas with roasted sweet potatoes, black beans, and top with avocado and salsa. 5. Drizzle with lime juice and serve.",TRUE
Thai Peanut Noodle Salad with Veggies,"A refreshing salad of rice noodles tossed with crunchy veggies and a creamy peanut sauce, perfect for warm days.","rice noodles, bell peppers, carrots, cucumbers, peanut butter, soy sauce, lime juice, sesame oil, cilantro",lunch,10,45,18,6,"{'vitamin C': 15, 'fiber': 4}",400,20,2,"1. Cook rice noodles according to package instructions and drain. 2. In a bowl, whisk together peanut butter, soy sauce, lime juice, and sesame oil. 3. In a large bowl, combine cooked noodles, sliced bell peppers, shredded carrots, and cucumbers. 4. Pour the peanut sauce over the salad and toss to combine. 5. Garnish with chopped cilantro and serve chilled.",TRUE
Vegetable Biryani,"A fragrant and flavorful rice dish made with a variety of vegetables, spices, and basmati rice, often garnished with fried onions.","basmati rice, mixed vegetables (carrots, peas, beans), onion, ginger, garlic, biryani masala, saffron, ghee, salt",dinner,10,45,15,5,"{'vitamin A': 15, 'vitamin C': 10}",500,40,2,"1. Soak basmati rice for 30 minutes and drain. 2. In a pot, heat ghee and sauté sliced onions until golden. 3. Add ginger and garlic, followed by mixed vegetables and biryani masala. 4. Add soaked rice, water, saffron, and salt. 5. Cover and cook until rice is tender. 6. Garnish with fried onions and serve with raita.",TRUE
Chana Masala,"A hearty and spiced chickpea curry cooked with onions, tomatoes, and a blend of spices, served with rice or bread.","chickpeas, onion, tomato, ginger, garlic, chana masala spice, cumin, coriander, salt, oil",dinner,15,40,8,12,"{'vitamin A': 10, 'iron': 6}",350,30,2,"1. Soak chickpeas overnight and cook until tender. 2. Heat oil in a pan and sauté chopped onions until golden. 3. Add minced ginger and garlic, followed by chopped tomatoes and spices. 4. Stir in cooked chickpeas and simmer for 10 minutes. 5. Serve hot with rice or bread.",TRUE
Rajma,"A popular North Indian dish made with kidney beans in a spiced tomato gravy, best served with rice.","kidney beans, onion, tomato, ginger, garlic, rajma masala, cumin, salt, oil",dinner,13,35,7,10,"{'vitamin A': 5, 'iron': 7}",400,35,2,"1. Soak kidney beans overnight and cook until soft. 2. In a pan, heat oil and sauté chopped onions until golden. 3. Add minced ginger and garlic, then add chopped tomatoes and rajma masala. 4. Mix in cooked beans and simmer for 15 minutes. 5. Serve with steamed rice.",TRUE
Palak Paneer,"A creamy and flavorful curry made with spinach and paneer (Indian cottage cheese), seasoned with spices.","spinach, paneer, onion, ginger, garlic, green chili, garam masala, cream, salt, oil",dinner,18,15,20,5,"{'vitamin A': 30, 'iron': 4}",450,30,1,"1. Blanch spinach in hot water and blend to a puree. 2. Heat oil in a pan, sauté chopped onions, ginger, and garlic. 3. Add spinach puree, garam masala, and cream. 4. Stir in cubed paneer and simmer for 10 minutes. 5. Serve with roti or naan.",TRUE
Masoor Dal,"A nutritious red lentil curry cooked with spices and herbs, often served with rice or bread.","red lentils, onion, tomato, ginger, garlic, turmeric, cumin, salt, oil",dinner,18,30,5,8,"{'vitamin A': 5, 'iron': 3}",300,25,1,"1. Rinse lentils and cook with water, turmeric, and salt until soft. 2. In a pan, heat oil and sauté chopped onions, ginger, and garlic. 3. Add chopped tomatoes and cook until soft. 4. Mix in cooked lentils and simmer for 10 minutes. 5. Serve hot with rice or bread.",TRUE
Baingan Bharta,"A smoky and spiced eggplant dish roasted and mashed with tomatoes and spices, typically served with roti.","eggplant, tomato, onion, ginger, garlic, cumin, coriander, salt, oil",dinner,5,25,8,6,"{'vitamin A': 10, 'fiber': 4}",250,30,2,"1. Roast eggplant until charred, peel, and mash. 2. Heat oil in a pan and sauté chopped onions, ginger, and garlic. 3. Add chopped tomatoes and spices, cooking until soft. 4. Stir in mashed eggplant and cook for 5 minutes. 5. Serve with roti or naan.",TRUE
Mixed Vegetable Curry,"A colorful curry made with seasonal vegetables, cooked in a spicy gravy, served with rice or bread.","mixed vegetables (carrots, peas, beans, potatoes), onion, tomato, ginger, garlic, curry powder, salt, oil",dinner,10,30,8,10,"{'vitamin C': 20, 'fiber': 5}",350,35,2,"1. Heat oil in a pan and sauté chopped onions, ginger, and garlic. 2. Add chopped tomatoes and curry powder, cooking until soft. 3. Stir in mixed vegetables and add water to cover. 4. Cook until vegetables are tender. 5. Serve hot with rice or bread.",TRUE
Kadhi Pakora,"A tangy yogurt-based curry with deep-fried gram flour dumplings, often enjoyed with rice.","yogurt, gram flour, onion, spices, curry leaves, salt, oil",dinner,8,25,15,4,"{'calcium': 20, 'vitamin A': 5}",400,40,1,"1. Mix gram flour with spices, water, and make a batter. 2. Deep-fry small dumplings until golden. 3. In a pot, whisk yogurt and add water, then heat gently. 4. Add curry leaves, spices, and the fried dumplings. 5. Serve with rice.",TRUE
Paneer Tikka,"Marinated paneer cubes grilled or baked, served with mint chutney and salad as a starter or snack.","paneer, yogurt, spices (tikka masala), bell peppers, onion, lemon juice, salt",snack,20,10,15,4,"{'calcium': 25, 'iron': 5}",300,30,1,"1. Marinate paneer cubes in yogurt and spices for 1 hour. 2. Thread paneer, bell peppers, and onion onto skewers. 3. Grill or bake until charred. 4. Serve hot with mint chutney.",TRUE
